Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,R50/TP1/TP21/TP22,8,*** PART# '*' NOT FOUND : R50/TP1/TP21/TP22
350-2044-1-ND,Dialight,598-8170-107F,L2/LED5,4,
478-3755-1-ND,AVX Corporation,08053C104KAT2A,REF1,2,
HS387-ND,Aavid Thermalloy,581002B02500G,U$1/U$2,4,
1297-1106-1-ND,Wurth Electronics Midcom,750313734,T1,2,
WM9811CT-ND,Molex, LLC,5025840270,J1/J2/J3/J4,8,
5025840870-ND,Molex, LLC,5025840870,H1,2,
399-9275-1-ND,Kemet,C0805C822K5RACTU,C5,2,
445-11475-1-ND,TDK Corporation,C2012JB1E226M125AC,C7/C8/C9,6,
296-28408-1-ND,Texas Instruments,CSD17506Q5A,U37,2,
P47DACT-ND,Panasonic Electronic Components,ERA-6AEB470V,R32,2,
P54.9KDACT-ND,Panasonic Electronic Components,ERA-6AEB5492V,R2,2,
P1.00KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1001V,R5/R9,4,
P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V,R3/R4/R7/R12/R13/R23,12,
P10.5KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1052V,R20,2,
P150KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1503V,R18/R19/R21/R22,8,
P20.0KCTR-ND,Panasonic Electronic Components,ERJ-6ENF2002V,R8,2,
490-5523-1-ND,Murata Electronics North America,GRM21BR61E106KA73L,C3/C4/C12/C13/C17,10,
490-1673-1-ND,Murata Electronics North America,GRM21BR71E104KA01L,REF43,16,
296-21956-1-ND,Texas Instruments,ISO7221CDR,U1,2,
296-6614-1-ND,Texas Instruments,LM139DR,U4,2,
LMC555CMM/NOPBCT-ND,Texas Instruments,LMC555CMM/NOPB,T3,2,
LTC1155CS8#PBF-ND,Linear Technology,LTC1155CS8#PBF,U36,2,
MAX6168AESA+-ND,Maxim Integrated,MAX6168AESA+,U5,2,
MBR0520LT3GOSCT-ND,ON Semiconductor,MBR0520LT3G,D33/D34,4,
MM3Z5V1BCT-ND,Fairchild Semiconductor,MM3Z5V1B,D35,2,
RT20J-10k-ND,Vishay Sfernice,RTO020F10001JTE3,R1/R6,4,
296-18007-1-ND,Texas Instruments,SN74LVC1G00DRLR,U3,2,
296-37700-1-ND,Texas Instruments,SN6501DBVR,U12,2,
SRP6540-4R7MCT-ND,Bourns Inc.,SRP6540-4R7M,L1,2,
TPS562219DDFT-ND,Texas Instruments,TPS562219DDFT,U2,2,
